# source_value stores all unique source values that are semantically mapped to OMOP concepts.
# (distinct from static mappings where lookups are only 1:1 and constant across datasets).
# the mappings are just value --> concept(s), regardless of source and model field.
# subsequent columns are from Athena, this file is validated against the Athena at runtime
# and concept_id and the metadata columns must match what is in that Athana version.
# note that the Atehna CONCEPT file doesn't have validity, but invalid_reason and invalid start to end dates,
# this is reformatted internally and checked against each concept id.
source_value,concept_id,concept_code,concept_name,concept_class_id,standard_concept,validity,domain_id,vocabulary_id
Valoid,909358,2977,cyclizine,Ingredient,Standard,Valid,Drug,RxNorm
Piperacillin/tazobaktam,1746114,8339,piperacillin,Ingredient,Standard,Valid,Drug,RxNorm
Piperacillin/tazobaktam,1741122,37617,tazobactam,Ingredient,Standard,Valid,Drug,RxNorm
Somac enterotab,948078,40790,pantoprazole,Ingredient,Standard,Valid,Drug,RxNorm
Pfizer vaccine,37003432,2468231,"SARS-CoV-2 (COVID-19) vaccine, mRNA spike protein",Ingredient,Standard,Valid,Drug,RxNorm
Enoksaparin,1301025,67108,enoxaparin,Ingredient,Standard,Valid,Drug,RxNorm
Laxoberal /Natriumpikosulfat,45775584,1546458,picosulfurate,Ingredient,Standard,Valid,Drug,RxNorm
Voltaren,1124300,3355,diclofenac,Ingredient,Standard,Valid,Drug,RxNorm
Dolcontin,1110410,7052,morphine,Ingredient,Standard,Valid,Drug,RxNorm
NaCl 9 mg/ml ,967823,9863,sodium chloride,Ingredient,Standard,Valid,Drug,RxNorm
Movicol (Makrogul),986417,221147,polyethylene glycol 3350,Ingredient,Standard,Valid,Drug,RxNorm Extension
Movicol (Makrogul),19049105,8591,potassium chloride,Ingredient,Standard,Valid,Drug,RxNorm Extension
Movicol (Makrogul),939506,36676,sodium bicarbonate,Ingredient,Standard,Valid,Drug,RxNorm Extension
Movicol (Makrogul),967823,9863,sodium chloride,Ingredient,Standard,Valid,Drug,RxNorm Extension
Alimemazin,19005570,10825,trimeprazine,Ingredient,Standard,Valid,Drug,RxNorm
Metoprolol,1307046,6918,metoprolol,Ingredient,Standard,Valid,Drug,RxNorm
Augmentin,1713332,723,amoxicillin,Ingredient,Standard,Valid,Drug,RxNorm
Augmentin,1759842,48203,clavulanate,Ingredient,Standard,Valid,Drug,RxNorm
Oxycodone,1124957,7804,oxycodone,Ingredient,Standard,Valid,Drug,RxNorm
Zopiclone,19044883,40001,zopiclone,Ingredient,Standard,Valid,Drug,RxNorm
Lactulose,987245,6218,lactulose,Ingredient,Standard,Valid,Drug,RxNorm
Haldol,766529,5093,haloperidol,Ingredient,Standard,Valid,Drug,RxNorm
Oxy Contin,1124957,7804,oxycodone,Ingredient,Standard,Valid,Drug,RxNorm
Imodium,991876,6468,loperamide,Ingredient,Standard,Valid,Drug,RxNorm
Doxylin,1738521,3640,doxycycline,Ingredient,Standard,Valid,Drug,RxNorm
Nexium,904453,283742,esomeprazole,Ingredient,Standard,Valid,Drug,RxNorm
Acetylcystein 200mg/ml,1139042,197,acetylcysteine,Ingredient,Standard,Valid,Drug,RxNorm
Canoderm kr5%,906914,11002,urea,Ingredient,Standard,Valid,Drug,RxNorm
Paralgin Forte,1201620,2670,codeine,Ingredient,Standard,Valid,Drug,RxNorm
Paralgin Forte,1125315,161,acetaminophen,Ingredient,Standard,Valid,Drug,RxNorm
Duphalac,987245,6218,lactulose,Ingredient,Standard,Valid,Drug,RxNorm
Vival (Diazepam),723013,3322,diazepam,Ingredient,Standard,Valid,Drug,RxNorm
Kaleorid,19049105,8591,potassium chloride,Ingredient,Standard,Valid,Drug,RxNorm
Metformin,1503297,6809,metformin,Ingredient,Standard,Valid,Drug,RxNorm
Sobril ,724816,7781,oxazepam,Ingredient,Standard,Valid,Drug,RxNorm
Oxycodon,1124957,7804,oxycodone,Ingredient,Standard,Valid,Drug,RxNorm
Glykopyrron,45775571,1546438,glycopyrronium,Ingredient,Standard,Valid,Drug,RxNorm
Oksykodon/Metoklopramid/Midazolam/Nacl,1124957,7804,oxycodone,Ingredient,Standard,Valid,Drug,RxNorm
Oksykodon/Metoklopramid/Midazolam/Nacl,906780,6915,metoclopramide,Ingredient,Standard,Valid,Drug,RxNorm
Oksykodon/Metoklopramid/Midazolam/Nacl,708298,6960,midazolam,Ingredient,Standard,Valid,Drug,RxNorm
Oksykodon/Metoklopramid/Midazolam/Nacl,967823,9863,sodium chloride,Ingredient,Standard,Valid,Drug,RxNorm
OxyContin ( Oxycodone),1124957,7804,oxycodone,Ingredient,Standard,Valid,Drug,RxNorm
"Morfin 40 mg/ml, Metoklopramid 5 mg/ml, Midazolam 5 mg/ml, Natriumklorid 9 mg/ml",1110410,7052,morphine,Ingredient,Standard,Valid,Drug,RxNorm
"Morfin 40 mg/ml, Metoklopramid 5 mg/ml, Midazolam 5 mg/ml, Natriumklorid 9 mg/ml",906780,6915,metoclopramide,Ingredient,Standard,Valid,Drug,RxNorm
